√À— ‡¢µ,™◊ËÕ‡¢µ,Õ.1 ™“¬,Õ.1 À≠‘ß,√«¡Õ.1,Õ.1 ÀÈÕß,Õ.2 ™“¬,Õ.2 À≠‘ß,√«¡Õ.2,Õ.2 ÀÈÕß,Õ.3 ™“¬,Õ.3 À≠‘ß,√«¡Õ.3,Õ.3 ÀÈÕß,√«¡°ËÕπª√–∂¡ ™“¬,√«¡°ËÕπª√–∂¡ À≠‘ß,√«¡°ËÕπª√–∂¡,√«¡ÀÈÕß°ËÕπª√–∂¡,ª.1 ™“¬,ª.1 À≠‘ß,√«¡ª.1,ª.1 ÀÈÕß,ª.2 ™“¬,ª.2 À≠‘ß,√«¡ª.2,ª.2 ÀÈÕß,ª.3 ™“¬,ª.3 À≠‘ß,√«¡ª.3,ª.3 ÀÈÕß,ª.4 ™“¬,ª.4 À≠‘ß,√«¡ª.4,ª.4 ÀÈÕß,ª.5 ™“¬,ª.5 À≠‘ß,√«¡ª.5,ª.5 ÀÈÕß,ª.6 ™“¬,ª.6 À≠‘ß,√«¡ª.6,ª.6 ÀÈÕß,√«¡ª√–∂¡ ™“¬,√«¡ª√–∂¡ À≠‘ß,√«¡ª√–∂¡,√«¡ÀÈÕßª√–∂¡,¡.1 ™“¬,¡.1 À≠‘ß,√«¡¡.1,¡.1 ÀÈÕß,¡.2 ™“¬,¡.2 À≠‘ß,√«¡¡.2,¡.2 ÀÈÕß,¡.3 ™“¬,¡.3 À≠‘ß,√«¡¡.3,¡.3 ÀÈÕß,√«¡¡.µÈπ ™“¬,√«¡¡.µÈπ À≠‘ß,√«¡¡.µÈπ,√«¡ÀÈÕß¡.µÈπ,¡.4 ™“¬,¡.4 À≠‘ß,√«¡¡.4,¡.4 ÀÈÕß,¡.5 ™“¬,¡.5 À≠‘ß,√«¡¡.5,¡.5 ÀÈÕß,¡.6 ™“¬,¡.6 À≠‘ß,√«¡¡.6,¡.6 ÀÈÕß,ª«™.1 ™“¬,ª«™.1 À≠‘ß,√«¡ª«™.1,ª«™.1 ÀÈÕß,ª«™.2 ™“¬,ª«™.2 À≠‘ß,√«¡ª«™.2,ª«™.2 ÀÈÕß,ª«™.3 ™“¬,ª«™.3 À≠‘ß,√«¡ª«™.3,ª«™.3 ÀÈÕß,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“ ™“¬,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“ À≠‘ß,√«¡¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“,√«¡ÀÈÕß¡.ª≈“¬·≈–‡∑’¬∫‡∑Ë“,√«¡∑—ÈßÀ¡¥ ™“¬,√«¡∑—ÈßÀ¡¥ À≠‘ß,√«¡∑—ÈßÀ¡¥,√«¡ÀÈÕß∑—ÈßÀ¡¥
00520001, æ¡.≈”ª“ß ≈”æŸπ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589,2913,5502,172,2700,2989,5689,174,2651,2854,5505,171,7940,8756,16696,517,2238,2992,5230,181,2136,2849,4985,182,1981,2776,4757,179,0,8,8,1,1,2,3,1,2,17,19,1,6358,8644,15002,545,14298,17400,31698,1062
00540001, æ¡.·æ√Ë,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,1129,2198,68,1090,1217,2307,71,1127,1216,2343,71,3286,3562,6848,210,894,1157,2051,67,808,1136,1944,65,808,1097,1905,66,0,0,0,0,0,0,0,0,0,0,0,0,2510,3390,5900,198,5796,6952,12748,408
00550001, æ¡.πË“π,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,1476,2872,91,1380,1606,2986,91,1351,1506,2857,90,4127,4588,8715,272,1191,1642,2833,101,1090,1601,2691,103,1074,1515,2589,101,0,0,0,0,0,0,0,0,0,0,0,0,3355,4758,8113,305,7482,9346,16828,577
00560001, æ¡.æ–‡¬“,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,1308,2496,81,1213,1361,2574,82,1207,1369,2576,83,3608,4038,7646,246,1054,1372,2426,82,1057,1263,2320,81,1031,1230,2261,83,0,0,0,0,0,0,0,0,0,0,0,0,3142,3865,7007,246,6750,7903,14653,492
00570001, æ¡.‡™’¬ß√“¬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2848,3033,5881,183,2962,3077,6039,183,2797,3041,5838,183,8607,9151,17758,549,2820,3394,6214,199,2509,3178,5687,192,2403,2998,5401,189,0,0,0,0,0,0,0,0,0,0,0,0,7732,9570,17302,580,16339,18721,35060,1129
00580001, æ¡.·¡ËŒËÕß Õπ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,839,1502,47,699,763,1462,44,650,766,1416,43,2012,2368,4380,134,746,1053,1799,55,590,958,1548,52,590,921,1511,53,0,0,0,0,0,0,0,0,0,0,0,0,1926,2932,4858,160,3938,5300,9238,294
00600001, æ¡.π§√ «√√§Ï,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745,2985,5730,168,2959,3054,6013,172,2833,3080,5913,173,8537,9119,17656,513,2407,3147,5554,165,2262,3161,5423,162,2233,2818,5051,161,42,38,80,2,33,46,79,2,21,47,68,2,6998,9257,16255,494,15535,18376,33911,1007
00610001, æ¡.Õÿ∑—¬∏“π’ ™—¬π“∑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,1960,3834,126,1900,2083,3983,128,2002,1994,3996,129,5776,6037,11813,383,1689,1927,3616,124,1449,1985,3434,122,1465,1923,3388,125,0,0,0,0,0,0,0,0,0,0,0,0,4603,5835,10438,371,10379,11872,22251,754
00620001, æ¡.°”·æß‡æ™√,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502,2560,5062,150,2531,2786,5317,154,2485,2637,5122,150,7518,7983,15501,454,2146,2551,4697,139,1999,2555,4554,138,1745,2436,4181,136,17,21,38,1,5,29,34,1,8,30,38,1,5920,7622,13542,416,13438,15605,29043,870
00630001, æ¡.µ“°,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,1554,3010,89,1368,1570,2938,89,1237,1568,2805,89,4061,4692,8753,267,1380,1875,3255,101,1143,1727,2870,98,1104,1700,2804,97,0,0,0,0,0,0,0,0,0,0,0,0,3627,5302,8929,296,7688,9994,17682,563
